FSNM2_pressure,Baltimore MD_pressure,Gaithersburg_pressure,SHIP_pressure,FSKM2_pressure,BLTM2_pressure,TCBM2_pressure,Baltimore-Martin MD_pressure,Carroll County_dewpoint,Baltimore-Martin MD_dewpoint,Gaithersburg_dewpoint,Baltimore MD_dewpoint,SHIP_dewpoint,Gaithersburg_dps,Baltimore MD_dps,Carroll County_dps,Baltimore-Martin MD_dps,SHIP_dps,Gaithersburg_wbt,Baltimore-Martin MD_wbt,Baltimore MD_wbt,SHIP_wbt,Carroll County_temp,FSKM2_temp,Gaithersburg_temp,TCBM2_temp,Baltimore-Martin MD_temp,Baltimore MD_temp,FSNM2_temp,BLTM2_temp,time,precipitation
1019.1,1019.1,1021.5,1019.3,1020.24,1019.66,1019.3,1019.3,57.2,62.6,59.0,57.0,55.4,18.0,22.0,19.8,24.1,22.5,64.9,64.4,64.9,64.0,77.0,73.9,75.9,70.5,80.1,79.0,76.26,77.22,2023-10-27/19:00,"[0, 0, 0, 0]"
1008.6,1008.7,1011.6,1009.1,1006.26,1005.96,1008.8,1009.1,32.0,33.8,35.1,34.0,34.7,23.9,29.0,28.8,31.0,25.6,47.1,48.0,48.7,47.7,60.8,59.9,59.0,59.9,63.0,63.0,59.6,60.88,2023-10-22/20:00,"[1, 0, 0, 0]"
1007.6,1008.2,1010.7,1008.3,1007.26,1007.0,1008.2,1008.7,35.6,37.4,39.0,37.0,35.6,18.9,23.0,21.6,28.1,22.9,48.2,48.4,48.6,47.1,57.2,58.5,57.9,57.9,62.1,60.1,57.56,58.67999999999999,2023-10-22/17:00,"[0, 0, 0, 1]"
1007.0,1007.1,1009.6,1007.6,1006.06,1005.9,1007.4,1007.6,41.0,44.6,46.0,46.0,44.6,5.9,9.0,12.6,13.0,11.2,48.7,50.2,50.2,49.8,53.6,55.8,52.0,56.7,57.0,55.0,55.31999999999999,54.54,2023-10-22/13:00,"[0, 0, 0, 0]"
1004.8,1004.9,1007.1,1005.6,1005.36,1005.06,1005.3,1005.4,44.6,44.6,45.0,45.0,45.9,6.1,6.1,7.2,9.9,8.6,47.7,48.7,47.7,50.0,51.8,55.0,51.1,55.4,54.0,51.1,53.88,51.6,2023-10-22/10:00,"[0, 0, 0, 0]"
996.7,997.3,1000.3,997.8,1000.3,1000.64,997.2,997.5,46.4,50.0,50.0,48.0,50.2,15.1,20.0,16.2,20.9,17.5,54.1,54.5,55.2,55.9,62.6,64.0,60.1,63.5,66.9,64.9,63.94000000000001,65.1,2023-10-21/17:00,"[0, 0, 0, 0]"
995.8,996.1,999.0,996.8,998.28,997.9,995.9,996.2,53.6,53.6,50.0,52.0,51.3,2.0,2.0,1.8,7.9,6.3,50.9,54.3,52.7,53.8,55.4,56.8,52.0,58.1,59.0,54.0,55.3,54.56,2023-10-21/10:00,"[0, 0, 0, 0]"
995.4,995.4,997.9,996.0,997.96,996.84,995.5,995.6,53.6,55.4,51.1,53.1,51.8,0.9,2.9,1.8,7.0,5.4,51.4,54.9,54.3,54.0,55.4,57.2,52.0,58.8,59.0,55.9,56.02,55.540000000000006,2023-10-21/07:00,"[0, 0, 1, 0]"
995.5,995.9,998.5,996.3,998.42,996.84,995.5,996.1,53.6,55.4,51.1,53.1,52.2,0.0,2.9,1.8,5.9,5.0,51.1,55.4,54.3,54.1,55.4,57.4,51.1,59.9,59.0,55.9,56.02,55.54,2023-10-21/06:00,"[0, 0, 0, 0]"
995.9,996.5,998.8,996.8,998.4199999999998,996.68,996.3,996.5,53.6,59.0,52.0,54.0,52.2,0.0,2.0,1.8,7.0,6.3,52.0,55.9,54.7,54.9,55.4,59.2,52.0,60.1,60.1,55.9,55.34,55.2,2023-10-21/05:00,"[0, 1, 0, 0]"
996.7,997.1,999.5,997.4,997.96,997.48,997.0,997.3,53.6,59.0,53.1,55.0,58.1,0.0,2.9,1.8,4.1,1.3,53.1,59.4,56.1,58.6,55.4,59.0,53.1,57.9,62.1,57.9,57.85999999999999,58.66,2023-10-21/04:00,"[0, 0, 0, 0]"
997.3,997.8,1000.0,998.3,997.68,998.2,998.0,998.2,55.4,59.0,53.1,57.9,57.9,0.9,2.2,0.0,4.1,1.1,53.4,59.4,58.8,58.3,55.4,59.0,54.0,57.7,62.1,60.1,58.18000000000001,58.94,2023-10-21/03:00,"[0, 0, 1, 0]"
1009.8,1010.2,1012.8,1010.3,1011.52,1010.38,1010.2,1010.3,51.8,50.0,46.0,48.0,49.8,4.0,5.9,0.0,9.0,4.9,47.8,52.0,50.5,52.0,51.8,56.5,50.0,57.2,57.0,54.0,55.7,56.42,2023-10-17/06:00,"[0, 0, 0, 0]"
1009.1,1009.5,1012.0,1009.7,1011.54,1009.84,1009.3,1009.7,48.2,48.2,46.0,46.0,49.6,7.0,11.0,5.4,13.0,6.3,49.3,51.8,51.1,52.3,53.6,57.6,53.1,58.6,59.0,57.0,60.48,60.44,2023-10-17/03:00,"[1, 0, 0, 0]"
1000.7,1001.3,1003.7,1001.8,1001.48,1000.98,1001.1,1001.7,48.2,46.9,46.9,46.9,45.9,0.9,3.1,1.8,7.0,5.9,46.9,49.3,48.2,48.2,48.2,51.1,46.9,51.8,52.0,50.0,50.82000000000001,51.4,2023-10-15/08:00,"[1, 1, 1, 0]"
1000.4,1000.9,1003.4,1001.4,1001.48,1000.98,1000.8,1001.1,48.2,48.2,46.9,48.0,46.4,1.1,3.1,0.0,4.0,3.6,47.5,49.8,49.3,48.0,48.2,50.7,48.0,52.3,52.0,51.1,50.82000000000001,51.4,2023-10-15/07:00,"[1, 1, 1, 0]"
999.5,1000.1,1003.0,1000.4,1001.2,1000.82,999.8,1000.0,48.2,50.0,48.9,48.9,48.0,0.0,3.1,0.0,4.1,2.9,48.9,50.7,50.2,49.3,48.2,51.6,48.9,52.0,53.1,52.0,50.93999999999999,51.760000000000005,2023-10-15/05:00,"[1, 1, 1, 1]"
999.2,999.6,1002.0,1000.2,1001.2,1000.82,999.4,1000.0,48.2,50.0,50.0,50.0,48.2,0.0,3.1,1.8,5.0,3.4,50.0,51.1,51.3,49.6,50.0,52.3,50.0,52.7,54.0,53.1,50.93999999999999,51.75999999999999,2023-10-15/04:00,"[1, 1, 1, 1]"
999.5,999.8,1002.3,1000.4,1000.42,1000.14,999.6,1000.1,50.0,51.8,51.1,52.0,50.9,0.0,2.0,1.8,4.0,1.8,51.1,52.7,52.7,51.8,51.8,53.1,51.1,53.6,55.0,54.0,52.88,52.67999999999999,2023-10-15/03:00,"[0, 1, 1, 1]"
999.7,999.9,1002.2,1000.7,1000.84,1000.4,999.7,1000.3,50.0,53.6,52.0,53.1,51.8,0.0,2.0,1.8,2.9,0.9,52.0,54.3,53.8,52.2,51.8,53.4,52.0,53.2,55.9,55.0,54.08,53.36,2023-10-15/02:00,"[1, 1, 1, 1]"
999.5,999.6,1002.0,1000.2,1000.74,1000.3,999.6,1000.0,51.8,54.0,53.1,53.1,53.1,0.9,2.0,0.0,2.0,0.9,53.4,54.7,53.8,53.4,51.8,55.4,54.0,53.8,55.9,55.0,53.96,53.36,2023-10-15/01:00,"[1, 1, 1, 0]"
999.3,999.6,1001.6,1000.2,999.9,999.12,999.9,1000.1,53.6,55.0,57.0,55.0,54.0,0.9,2.0,0.0,2.0,0.9,57.4,55.8,55.8,54.3,53.6,56.1,57.9,54.5,57.0,57.0,56.8,57.02,2023-10-14/23:00,"[0, 0, 0, 0]"
1000.32,1000.1,1001.6,1000.7,1000.26,999.38,1000.4,1000.8,53.6,55.4,57.9,55.0,54.5,0.0,2.0,0.0,3.1,0.9,57.9,55.0,55.8,54.9,53.6,56.3,57.9,55.6,57.0,57.0,56.15999999999999,56.620000000000005,2023-10-14/22:00,"[1, 0, 0, 1]"
1001.5,1002.0,1003.5,1002.7,1003.9,1000.36,1002.4,1002.5,53.6,55.4,57.0,57.9,55.8,0.9,2.0,1.8,2.0,0.5,57.4,56.1,58.8,56.1,55.4,56.7,57.9,59.0,57.9,60.1,59.46,60.05999999999999,2023-10-14/20:00,"[1, 1, 0, 1]"
1002.2,1002.8,1004.5,1003.6,1005.62,1002.24,1003.2,1003.4,53.6,57.0,57.0,57.0,57.6,0.9,2.0,0.72,2.0,1.3,57.4,57.7,57.7,58.1,53.6,59.4,57.9,58.5,59.0,59.0,59.14,59.84,2023-10-14/19:00,"[1, 1, 1, 1]"
1005.1,1005.6,1007.1,1006.4,1006.68,1006.42,1006.1,1006.2,51.8,55.4,55.9,55.0,54.3,0.9,2.0,0.0,4.0,2.0,56.3,56.1,56.1,55.8,53.6,58.1,57.0,56.5,57.9,57.9,56.56,55.6,2023-10-14/17:00,"[1, 1, 0, 1]"
1005.5,1007.4,1008.4,1007.9,1006.6,1006.36,1007.5,1007.7,51.8,53.6,55.0,55.0,52.7,0.0,2.0,0.0,2.9,3.6,55.0,54.3,55.8,54.1,51.8,56.7,55.0,55.2,55.9,57.0,56.16,55.6,2023-10-14/16:00,"[1, 0, 1, 0]"
1008.0,1008.2,1009.7,1009.1,1006.88,1007.98,1008.9,1008.8,50.0,53.6,53.1,54.0,52.2,0.0,3.1,1.8,4.0,4.0,53.1,53.8,55.0,54.0,51.8,55.8,53.1,54.3,55.9,57.0,54.08,54.3,2023-10-14/15:00,"[1, 1, 1, 1]"
1009.1,1009.0,1010.6,1009.8,1009.22,1008.32,1009.8,1009.6,48.2,53.6,52.0,52.0,51.8,0.0,5.0,3.6,4.9,4.9,52.0,53.2,54.0,53.8,51.8,56.1,52.0,53.4,55.9,57.0,53.71999999999999,54.080000000000005,2023-10-14/14:00,"[1, 1, 1, 1]"
1009.9,1010.0,1011.7,1010.9,1012.0,1010.88,1010.3,1010.6,46.4,51.8,51.1,51.1,49.5,0.9,6.8,5.4,8.1,8.1,51.4,52.3,54.0,52.9,51.8,56.5,52.0,53.2,57.0,57.9,54.4,54.720000000000006,2023-10-14/13:00,"[0, 0, 1, 0]"
1010.5,1010.6,1012.2,1011.6,1012.1,1012.32,1011.5,1011.3,46.4,48.2,48.9,48.0,47.3,2.0,7.0,7.2,10.1,7.4,50.2,51.4,52.0,51.1,53.6,56.3,52.0,52.5,57.0,57.0,55.3,55.74000000000001,2023-10-14/11:00,"[0, 0, 0, 0]"
1009.3,1009.3,1011.3,1009.8,1010.38,1009.62,1009.6,1009.7,51.8,51.8,51.1,51.1,48.9,2.0,4.9,1.8,9.0,9.5,51.8,53.8,53.2,53.1,53.6,58.6,53.1,62.2,59.0,55.9,59.08,59.02,2023-10-10/01:00,"[0, 0, 0, 1]"
1009.1,1009.3,1011.3,1009.7,1010.42,1009.5,1009.5,1009.8,51.8,51.8,51.1,50.0,45.9,0.9,7.0,1.8,11.2,13.5,51.4,53.8,52.9,52.0,53.6,59.5,52.0,57.6,60.1,57.0,59.32000000000001,58.98,2023-10-10/00:00,"[0, 1, 1, 0]"
1007.0,1007.3,1010.0,1008.2,1008.58,1006.78,1007.5,1007.6,39.2,50.0,42.1,45.0,59.5,22.0,26.1,25.2,28.1,26.1,51.4,55.0,54.7,67.1,66.2,64.6,62.1,63.1,68.0,66.9,66.53999999999999,67.20000000000002,2023-10-07/20:00,"[1, 0, 0, 0]"
1007.6,1008.2,1010.6,1009.5,1006.7,1007.7,1007.8,1008.5,48.2,55.4,46.9,51.1,50.4,13.1,13.0,12.6,16.0,12.6,52.7,55.8,56.5,54.7,60.8,61.0,60.1,61.7,64.9,64.0,64.0,64.44000000000001,2023-10-07/18:00,"[0, 0, 0, 0]"
1008.0,1008.8,1011.4,1009.8,1009.0,1009.2,1008.7,1009.0,50.0,59.0,52.0,55.0,55.4,8.1,5.0,9.0,7.0,7.0,55.4,58.6,57.0,57.6,59.0,61.0,60.1,61.2,63.0,60.1,60.82000000000001,60.64000000000001,2023-10-07/17:00,"[0, 1, 0, 1]"
1009.0,1009.5,1012.1,1010.2,1008.74,1009.34,1009.4,1009.6,53.6,57.0,52.0,55.9,55.8,3.1,4.1,3.6,5.9,5.4,53.1,59.2,57.6,57.7,57.2,60.8,55.0,62.4,63.0,60.1,58.4,60.66,2023-10-07/16:00,"[0, 1, 1, 1]"
1009.0,1009.6,1012.1,1010.6,1009.18,1008.0599999999998,1009.4,1009.9,55.4,55.9,55.0,57.0,55.2,0.9,4.0,5.4,7.0,7.6,55.4,58.6,58.6,57.7,60.8,62.2,55.9,64.0,63.0,61.0,62.82000000000001,62.9,2023-10-07/15:00,"[0, 1, 1, 1]"
1008.9,1009.4,1012.2,1010.2,1009.8,1009.38,1008.9,1009.6,57.2,60.8,57.0,59.0,57.7,0.9,5.0,3.6,8.1,6.8,57.4,61.0,61.0,60.1,60.8,62.2,57.9,66.0,66.0,64.0,63.71999999999999,63.59999999999999,2023-10-07/14:00,"[0, 0, 1, 0]"
1008.5,1008.8,1011.5,1009.6,1009.88,1009.5,1008.5,1009.0,57.2,62.6,60.1,60.1,60.1,0.9,5.9,5.4,7.9,6.8,60.4,63.0,62.1,62.2,62.6,66.7,61.0,67.8,68.0,66.0,66.88,66.74000000000001,2023-10-07/13:00,"[0, 0, 1, 0]"
1007.8,1008.1,1010.8,1008.7,1009.74,1009.48,1008.1,1008.0,62.6,61.0,61.0,61.0,60.8,1.1,5.0,1.8,7.0,6.3,61.3,63.3,62.8,63.0,64.4,66.4,62.1,67.1,68.0,66.0,66.34,66.83999999999999,2023-10-07/12:00,"[0, 0, 1, 0]"
1007.7,1008.1,1010.4,1008.8,1009.4199999999998,1009.5400000000002,1008.1,1008.3,62.6,61.0,61.0,60.1,60.3,1.1,4.0,1.8,5.9,6.7,61.3,63.0,61.5,62.4,64.4,66.6,62.1,67.1,66.9,64.0,66.2,66.34,2023-10-07/11:00,"[0, 0, 1, 0]"
1007.9,1008.2,1010.6,1008.7,1008.12,1007.62,1008.0,1008.6,64.4,68.0,61.0,62.1,63.0,1.1,2.9,0.0,4.0,6.3,61.3,65.3,63.0,64.4,64.4,67.5,62.1,65.7,68.0,64.9,67.08,67.0,2023-10-07/10:00,"[0, 0, 1, 0]"
1007.8,1007.8,1010.9,1008.7,1008.54,1007.72,1008.2,1008.1,64.4,68.0,62.1,64.9,68.0,0.9,0.0,1.8,3.1,2.7,62.4,68.9,64.4,68.4,66.2,67.8,63.0,65.8,71.1,64.9,69.24000000000001,67.08,2023-10-07/09:00,"[0, 0, 1, 0]"
1008.1,1008.1,1010.3,1008.6,1008.54,1008.68,1008.6,1008.4,64.4,68.0,64.0,64.9,68.4,0.0,2.0,1.8,3.1,1.8,64.0,68.9,65.5,68.5,66.2,68.7,64.0,66.0,71.1,66.9,69.24000000000001,69.62,2023-10-07/08:00,"[0, 0, 1, 0]"
1008.6,1008.6,1011.0,1009.2,1008.32,1009.46,1008.9,1009.0,66.2,68.0,64.0,66.0,68.9,0.0,2.0,0.0,5.0,2.0,64.0,69.4,66.6,69.3,66.2,69.6,64.0,66.2,73.0,68.0,69.92,70.67999999999999,2023-10-07/07:00,"[0, 0, 1, 0]"
1021.9,1022.1,1025.0,1022.6,1021.96,1021.4,1022.5,1022.5,57.2,59.0,59.0,57.9,71.1,18.0,24.1,21.6,25.9,23.0,65.5,66.2,66.6,77.5,78.8,76.8,77.0,73.4,82.9,82.0,76.56,76.92,2023-10-01/18:00,"[0, 0, 0, 1]"
1021.42,1022.7,1024.8,1023.3,1023.0,1021.18,1022.8,1023.0,60.8,62.6,62.1,62.1,61.7,4.9,7.0,5.4,10.1,6.3,63.7,64.4,64.4,63.9,66.2,68.0,66.9,66.6,71.1,69.1,69.03999999999999,69.44,2023-10-01/01:00,"[0, 0, 0, 0]"
1018.0,1017.9,1020.1,1018.6,1017.94,1017.88,1018.3,1018.0,62.6,62.6,61.0,61.0,60.6,4.0,5.9,1.8,7.0,5.9,62.4,63.3,63.0,62.6,64.4,65.1,64.9,64.0,68.0,66.9,64.94000000000001,65.88000000000001,2023-09-25/21:00,"[0, 0, 0, 0]"
1014.3,1014.5,1017.3,1015.4,1015.9,1015.42,1014.5,1014.6,60.8,60.8,57.9,60.1,57.2,1.1,2.0,0.0,5.0,4.9,58.3,61.0,60.8,59.0,60.8,63.0,59.0,63.3,64.0,62.1,63.52,63.10000000000001,2023-09-25/11:00,"[1, 0, 0, 0]"
1013.9,1014.2,1016.7,1015.0,1015.52,1014.26,1014.2,1014.1,60.8,60.8,59.0,60.1,57.7,1.1,2.9,0.0,5.9,4.9,59.4,61.2,61.2,59.5,60.8,63.3,60.1,63.5,64.9,63.0,64.9,64.47999999999999,2023-09-25/10:00,"[1, 0, 0, 0]"
1013.2,1013.3,1015.9,1013.8,1012.82,1014.22,1013.4,1013.3,62.6,64.4,62.1,64.0,64.2,0.0,2.0,0.0,4.0,1.4,62.1,65.3,64.6,64.8,62.6,65.7,62.1,66.7,68.0,66.0,65.03999999999999,65.32000000000001,2023-09-25/02:00,"[0, 1, 0, 0]"
1013.0,1013.1,1015.6,1013.6,1012.62,1014.22,1013.3,1013.2,64.4,64.9,62.1,64.0,64.2,0.0,2.9,0.0,3.1,0.9,62.1,65.8,64.9,64.6,64.4,65.8,62.1,66.7,68.0,66.9,65.4,65.58,2023-09-25/01:00,"[0, 1, 1, 0]"
1012.6,1012.6,1015.0,1013.2,1012.5,1012.42,1012.8,1012.8,64.4,64.9,63.0,64.9,64.2,0.0,2.0,0.0,4.1,2.3,63.0,66.4,65.5,64.9,64.4,67.1,63.0,66.9,69.1,66.9,67.12,67.34,2023-09-25/00:00,"[0, 1, 0, 0]"
1012.2,1012.1,1014.5,1012.7,1012.72,1012.56,1012.4,1012.3,64.4,64.9,63.0,64.0,63.9,1.1,5.0,1.8,4.1,3.1,63.3,66.4,65.7,64.9,66.2,66.7,64.0,66.9,69.1,69.1,67.5,68.05999999999999,2023-09-24/23:00,"[0, 0, 0, 0]"
1011.7,1011.5,1014.0,1012.1,1012.3,1011.88,1011.9,1011.9,64.4,64.9,64.0,63.0,63.9,0.9,6.1,1.8,4.1,3.2,64.4,66.4,65.1,64.9,66.2,66.6,64.9,66.4,69.1,69.1,66.3,66.44000000000001,2023-09-24/22:00,"[0, 0, 0, 0]"
1011.1,1011.0,1013.2,1011.6,1011.66,1011.82,1011.4,1011.5,64.4,64.4,64.0,64.0,64.2,0.9,5.9,1.8,5.0,3.8,64.4,65.7,65.8,65.5,66.2,66.2,64.9,65.7,69.1,70.0,66.3,66.47999999999999,2023-09-24/21:00,"[0, 0, 1, 0]"
1011.0,1010.9,1013.1,1011.6,1011.46,1011.06,1011.2,1011.5,64.4,64.9,64.0,64.9,63.5,0.9,3.1,1.8,3.1,1.8,64.4,65.8,65.8,64.0,66.2,65.3,64.9,66.7,68.0,68.0,66.03999999999999,65.52,2023-09-24/20:00,"[1, 0, 1, 1]"
1010.9,1010.9,1013.1,1011.4,1011.64,1011.26,1011.3,1011.5,64.4,64.9,63.0,64.0,64.8,2.0,2.9,1.8,3.1,0.9,63.5,65.8,64.9,65.1,66.2,65.7,64.9,66.0,68.0,66.9,64.9,64.17999999999999,2023-09-24/19:00,"[1, 1, 0, 0]"
1010.8,1010.8,1013.1,1011.3,1011.58,1011.1,1011.2,1011.3,64.4,64.4,63.0,64.0,64.4,1.1,2.0,0.0,2.9,1.6,63.3,64.9,64.6,64.9,64.4,65.5,64.0,65.5,66.9,66.0,64.52000000000001,64.4,2023-09-24/18:00,"[1, 1, 0, 1]"
1009.5,1009.5,1011.4,1010.1,1009.1,1008.56,1010.0,1010.0,62.6,64.9,62.1,64.9,65.3,0.9,1.1,0.0,2.0,0.9,62.4,65.5,65.3,65.7,62.6,66.6,63.0,66.7,66.9,66.0,66.85999999999999,66.85999999999999,2023-09-24/11:00,"[1, 1, 1, 1]"
1009.2,1008.7,1011.2,1009.7,1008.34,1007.82,1009.8,1009.6,62.6,64.4,62.1,64.9,64.8,0.0,2.0,0.0,2.0,0.5,62.1,64.6,65.5,64.9,62.6,66.0,62.1,65.7,66.0,66.9,67.12,67.0,2023-09-24/10:00,"[1, 1, 1, 1]"
